user	degree	ndcg20
1	44	0.17431861096191292
2	38	0.2509149480252278
3	4	0.0
4	39	0.2614509211065037
5	75	0.0
6	19	0.0
8	21	0.0
9	2	0.0
10	61	0.2619771446444406
11	40	0.3105117011249393
12	151	0.11099078967824277
13	70	0.5031583689993202
14	43	0.09942460513010813
15	20	0.0
16	8	0.6131471927654585
17	6	0.23540891336663824
18	11	0.0
19	48	0.11821082624106263
20	7	0.09032543842038995
21	11	0.1500067931083378
23	33	0.1818376791286161
24	3	0.0
25	1	0.0
26	171	0.243374284323145
28	40	0.47441434924951004
29	18	0.0
30	9	0.0
32	3	0.0
33	15	0.0
34	16	0.07414861528507455
35	9	0.24465054211822598
36	86	0.038553712684239856
38	21	0.23463936301137828
39	51	0.19519002499605087
40	138	0.08961728720334346
41	12	0.0
42	21	0.2710162059153053
43	14	0.0
44	11	0.0
45	20	0.0
46	40	0.0
47	95	0.24485027985326643
48	14	0.42213593335873517
49	48	0.0
50	4	0.0
51	82	0.2482942912932298
52	31	0.0
53	1	0.0
54	5	0.7664339909568231
55	2	0.0
56	91	0.0705333542487353
57	31	0.09791292534996782
58	47	0.29131686519750843
59	65	0.058781321993964776
62	36	0.0
63	32	0.31520141044913497
64	227	0.41636445396667493
67	89	0.0
68	52	0.05621908976192367
69	13	0.42213593335873517
70	114	0.10554427104660294
72	29	0.5242923479720376
73	21	0.0
74	16	0.0
75	361	0.14335404733676071
76	110	0.10191127331271667
77	35	0.0
78	79	0.07597375654860734
79	69	0.1519475130972147
81	42	0.0
82	16	0.38685280723454163
83	19	0.0
84	103	0.3278637631465573
85	52	0.15958907712489634
86	8	0.0
88	77	0.27732173238842145
89	63	0.31261801299390074
90	18	0.0
91	38	0.07414861528507455
92	3	0.0
93	79	0.1421002773054528
94	64	0.2465505554475862
95	10	0.0
96	2	0.0
97	14	0.0
98	3	0.0
99	29	0.17949307520872437
100	33	0.12647135138382856
101	30	0.22578419899983798
102	146	0.2166775640376258
103	53	0.0
104	8	0.09460634670666435
105	1	0.0
107	53	0.38715529963914047
108	41	0.0
109	12	0.0
110	55	0.1709511674096638
111	7	0.46927872602275655
112	11	0.0
113	14	0.0
114	50	0.27332387315471945
115	10	0.12325583919272355
116	1	0.0
117	2	0.0
118	12	0.3562071871080222
119	23	0.43292617940918415
121	9	0.0
122	216	0.38177855142761485
123	13	0.0
124	105	0.3177630197200322
126	16	0.13565197343244778
127	85	0.3754587635631502
128	24	0.0
129	156	0.17839632762219615
130	186	0.3256956127826096
131	176	0.2135174356423934
132	12	0.07984133538066795
134	61	0.390908671643682
135	15	0.14606834984270647
136	5	0.0
137	41	0.21398626473452756
138	17	0.21398626473452756
139	78	0.3677368579842
140	11	0.6294671557537437
141	94	0.13483635373301536
142	104	0.221892095965715
143	16	0.07721668828275383
144	6	0.0
145	60	0.26151823016363795
146	98	0.08910837026011148
147	8	0.25
148	2	0.0
149	35	0.05502294157452005
151	8	0.0
152	64	0.3341885414889603
153	5	0.0
154	67	0.1963579357992893
156	31	0.13032376591037065
157	375	0.672085741221398
158	47	0.41253177989255346
160	86	0.09752960336657071
163	7	0.0
164	19	0.07745351606183935
165	64	0.043922681482881344
167	9	0.6509209298071325
171	35	0.4597437879044014
172	45	0.20626588994627673
173	24	0.3026024134988135
174	9	0.0
175	8	0.0
177	18	0.419665006636777
178	44	0.0
181	13	0.30657359638272924
182	4	0.1395953738647505
183	19	0.0
184	39	0.2222494982199364
185	8	0.0
187	60	0.1627520980675949
188	65	0.06643528327297621
189	173	0.32834065212344693
191	69	0.28439904004700906
192	20	0.0
193	29	0.0
194	10	0.11731968150568914
196	27	0.5925345652154801
197	16	0.227804435066758
198	3	0.0
199	23	0.0
200	2	0.0
201	27	0.12233024263565774
202	298	0.13509706533249793
203	3	0.0
205	76	0.23863803340800016
206	11	0.0
207	32	0.12544742200502088
208	102	0.5428501923195277
210	3	0.0
211	43	0.44490366174805823
212	66	0.18563397238387766
215	18	0.0
216	17	0.0
217	46	0.1453757882702868
218	78	0.08041927109478653
219	26	0.3835663673713356
220	3	0.0
221	6	0.0
223	13	0.0
225	9	0.2680484427922529
226	75	0.0841051471392066
227	24	0.25909036127391766
228	1	0.0
229	93	0.07692781742226025
230	31	0.0
231	41	0.09478836436955079
232	62	0.04258528250242428
233	40	0.0
234	10	0.2617455389587139
235	37	0.5534089895040297
236	28	0.0874717141014082
237	20	0.0
238	1	0.5060345243252983
239	42	0.0
240	103	0.0
241	3	0.0
242	7	0.2559580248098155
243	17	0.0
245	2	0.0
246	6	0.0
247	11	0.0
248	7	0.0
249	11	0.5531464700081437
